County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Wabasha,4/24/2020,8,NA,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,4/24/2020,NA,NA,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,4/24/2020,3,NA,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,4/24/2020,107,NA,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,4/24/2020,5,NA,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,4/24/2020,11,NA,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,4/24/2020,64,NA,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,4/24/2020,32,NA,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,4/24/2020,3,NA,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,4/25/2020,1,NA,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,4/25/2020,150,NA,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,4/25/2020,2,NA,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,4/25/2020,6,NA,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,4/25/2020,4,NA,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,4/25/2020,2,NA,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,4/25/2020,27,NA,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,4/25/2020,8,NA,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,4/25/2020,47,NA,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,4/25/2020,16,NA,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,4/25/2020,5,NA,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,4/25/2020,2,NA,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,4/25/2020,7,NA,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,4/25/2020,113,NA,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,4/25/2020,2,NA,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,4/25/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,4/25/2020,6,NA,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,4/25/2020,20,NA,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,4/25/2020,138,NA,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,4/25/2020,19,NA,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,4/25/2020,2,NA,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,4/25/2020,4,NA,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,4/25/2020,12,NA,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,4/25/2020,33,NA,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,4/25/2020,19,NA,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,4/25/2020,NA,NA,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,4/25/2020,1287,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,4/25/2020,1,NA,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,4/25/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,4/25/2020,7,NA,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,4/25/2020,2,NA,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,4/25/2020,7,NA,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,4/25/2020,NA,NA,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,4/25/2020,28,NA,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,4/25/2020,1,NA,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,4/25/2020,1,NA,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,4/25/2020,1,NA,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,4/25/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,4/25/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,4/25/2020,22,NA,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,4/25/2020,2,NA,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,4/25/2020,6,NA,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,4/25/2020,1,NA,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,4/25/2020,1,NA,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,4/25/2020,42,NA,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,4/25/2020,3,NA,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,4/25/2020,4,NA,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,4/25/2020,1,NA,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,4/25/2020,1,NA,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,4/25/2020,28,NA,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,4/25/2020,8,NA,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,4/25/2020,9,NA,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,4/25/2020,325,NA,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,4/25/2020,7,NA,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,4/25/2020,238,NA,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,4/25/2020,8,NA,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,4/25/2020,1,NA,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,4/25/2020,45,NA,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,4/25/2020,2,NA,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,4/25/2020,20,NA,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,4/25/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,4/25/2020,261,NA,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,4/25/2020,1,NA,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,4/25/2020,1,NA,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,4/25/2020,3,NA,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,4/25/2020,9,NA,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,4/25/2020,5,NA,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,4/25/2020,1,NA,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,4/25/2020,32,NA,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,4/25/2020,15,NA,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,4/25/2020,1,NA,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,4/25/2020,61,NA,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,4/25/2020,38,NA,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,4/25/2020,12,NA,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,4/25/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,4/25/2020,1,NA,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,4/25/2020,3,NA,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,4/25/2020,2,NA,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,4/25/2020,8,NA,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,4/25/2020,NA,NA,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,4/25/2020,3,NA,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,4/25/2020,112,NA,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,4/25/2020,5,NA,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,4/25/2020,11,NA,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,4/25/2020,66,NA,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,4/25/2020,33,NA,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,4/25/2020,3,NA,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,4/28/2020,1,NA,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,4/28/2020,186,NA,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,4/28/2020,2,NA,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,4/28/2020,6,NA,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,4/28/2020,6,NA,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,4/28/2020,2,NA,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,4/28/2020,33,NA,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,4/28/2020,8,NA,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,4/28/2020,53,NA,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,4/28/2020,19,NA,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,4/28/2020,5,NA,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,4/28/2020,2,NA,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,4/28/2020,9,NA,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,4/28/2020,149,NA,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,4/28/2020,2,NA,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,4/28/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,4/28/2020,11,NA,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,4/28/2020,20,NA,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,4/28/2020,156,NA,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,4/28/2020,19,NA,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,4/28/2020,2,NA,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,4/28/2020,4,NA,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,4/28/2020,12,NA,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,4/28/2020,34,NA,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,4/28/2020,19,NA,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,4/28/2020,NA,NA,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,4/28/2020,1524,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,4/28/2020,1,NA,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,4/28/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,4/28/2020,6,NA,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,4/28/2020,2,NA,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,4/28/2020,9,NA,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,4/28/2020,NA,NA,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,4/28/2020,64,NA,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,4/28/2020,1,NA,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,4/28/2020,1,NA,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,4/28/2020,1,NA,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,4/28/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,4/28/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,4/28/2020,24,NA,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,4/28/2020,2,NA,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,4/28/2020,6,NA,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,4/28/2020,1,NA,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,4/28/2020,1,NA,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,4/28/2020,52,NA,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,4/28/2020,4,NA,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,4/28/2020,9,NA,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,4/28/2020,2,NA,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,4/28/2020,1,NA,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,4/28/2020,28,NA,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,4/28/2020,10,NA,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,4/28/2020,9,NA,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,4/28/2020,477,NA,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,4/28/2020,7,NA,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,4/28/2020,251,NA,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,4/28/2020,8,NA,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,4/28/2020,1,NA,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,4/28/2020,56,NA,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,4/28/2020,2,NA,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,4/28/2020,26,NA,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,4/28/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,4/28/2020,317,NA,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,4/28/2020,1,NA,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,4/28/2020,1,NA,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,4/28/2020,3,NA,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,4/28/2020,11,NA,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,4/28/2020,8,NA,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,4/28/2020,1,NA,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,4/28/2020,36,NA,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,4/28/2020,19,NA,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,4/28/2020,2,NA,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,4/28/2020,69,NA,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,4/28/2020,86,NA,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,4/28/2020,14,NA,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,4/28/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,4/28/2020,2,NA,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,4/28/2020,4,NA,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,4/28/2020,2,NA,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,4/28/2020,8,NA,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,4/28/2020,1,NA,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,4/28/2020,4,NA,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,4/28/2020,117,NA,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,4/28/2020,7,NA,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,4/28/2020,12,NA,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,4/28/2020,66,NA,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,4/28/2020,35,NA,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,4/28/2020,3,NA,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,4/29/2020,1,NA,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,4/29/2020,196,NA,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,4/29/2020,2,NA,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,4/29/2020,6,NA,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,4/29/2020,10,NA,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,4/29/2020,2,NA,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,4/29/2020,34,NA,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,4/29/2020,8,NA,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,4/29/2020,55,NA,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,4/29/2020,20,NA,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,4/29/2020,5,NA,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,4/29/2020,2,NA,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,4/29/2020,10,NA,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,4/29/2020,152,NA,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,4/29/2020,2,NA,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,4/29/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,4/29/2020,20,NA,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,4/29/2020,20,NA,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,4/29/2020,157,NA,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,4/29/2020,19,NA,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,4/29/2020,2,NA,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,4/29/2020,5,NA,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,4/29/2020,12,NA,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,4/29/2020,34,NA,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,4/29/2020,19,NA,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,4/29/2020,NA,NA,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,4/29/2020,1633,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,4/29/2020,1,NA,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,4/29/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,4/29/2020,6,NA,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,4/29/2020,3,NA,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,4/29/2020,12,NA,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,4/29/2020,NA,NA,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,4/29/2020,88,NA,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,4/29/2020,1,NA,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,4/29/2020,1,NA,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,4/29/2020,1,NA,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,4/29/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,4/29/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,4/29/2020,24,NA,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,4/29/2020,3,NA,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,4/29/2020,6,NA,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,4/29/2020,1,NA,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,4/29/2020,1,NA,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,4/29/2020,70,NA,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,4/29/2020,4,NA,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,4/29/2020,9,NA,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,4/29/2020,2,NA,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,4/29/2020,2,NA,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,4/29/2020,28,NA,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,4/29/2020,11,NA,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,4/29/2020,9,NA,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,4/29/2020,615,NA,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,4/29/2020,8,NA,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,4/29/2020,256,NA,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,4/29/2020,8,NA,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,4/29/2020,1,NA,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,4/29/2020,56,NA,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,4/29/2020,2,NA,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,4/29/2020,27,NA,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,4/29/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,4/29/2020,332,NA,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,4/29/2020,1,NA,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,4/29/2020,1,NA,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,4/29/2020,4,NA,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,4/29/2020,12,NA,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,4/29/2020,9,NA,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,4/29/2020,1,NA,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,4/29/2020,41,NA,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,4/29/2020,26,NA,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,4/29/2020,2,NA,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,4/29/2020,71,NA,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,4/29/2020,166,NA,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,4/29/2020,15,NA,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,4/29/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,4/29/2020,2,NA,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,4/29/2020,7,NA,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,4/29/2020,2,NA,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,4/29/2020,8,NA,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,4/29/2020,1,NA,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,4/29/2020,4,NA,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,4/29/2020,120,NA,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,4/29/2020,9,NA,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,4/29/2020,12,NA,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,4/29/2020,66,NA,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,4/29/2020,40,NA,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,4/29/2020,3,NA,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,4/30/2020,1,NA,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,4/30/2020,212,NA,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
