County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Houston,5/3/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/3/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/3/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/3/2020,11,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/3/2020,18,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/3/2020,1,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/3/2020,167,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/3/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/3/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/3/2020,1,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/3/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/3/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/3/2020,26,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/3/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/3/2020,9,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/3/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/3/2020,5,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/3/2020,109,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/3/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/3/2020,15,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/3/2020,2,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/3/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/3/2020,28,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/3/2020,17,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/3/2020,15,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/3/2020,940,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/3/2020,8,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/3/2020,293,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/3/2020,17,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/3/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/3/2020,58,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/3/2020,3,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/3/2020,41,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/3/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/3/2020,493,34,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/3/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/3/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/3/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/3/2020,20,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/3/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/3/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/3/2020,58,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/3/2020,54,0,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/3/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/3/2020,75,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/3/2020,589,0,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/3/2020,21,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/3/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/3/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/3/2020,8,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
