County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths
Norman,5/2/2020,8,0,Norman,5/3/2020,8,0,Norman,5/4/2020,9,0,Norman,5/5/2020,9,0,Norman,5/6/2020,9,0,Nobles,5/7/2020,"1,153",2,Nobles,5/8/2020,"1,177",2,Nobles,5/9/2020,"1,230",2,Nobles,5/10/2020,"1,255",2,Nobles,5/11/2020,"1,269",2,Nobles,5/12/2020,"1,291",2
Olmsted,5/2/2020,282,8,Olmsted,5/3/2020,293,8,Olmsted,5/4/2020,305,8,Olmsted,5/5/2020,313,8,Olmsted,5/6/2020,322,8,Norman,5/7/2020,9,0,Norman,5/8/2020,9,0,Norman,5/9/2020,9,0,Norman,5/10/2020,10,0,Norman,5/11/2020,10,0,Norman,5/12/2020,11,0
Otter Tail,5/2/2020,17,0,Otter Tail,5/3/2020,17,0,Otter Tail,5/4/2020,18,0,Otter Tail,5/5/2020,19,0,Otter Tail,5/6/2020,19,0,Olmsted,5/7/2020,336,8,Olmsted,5/8/2020,351,9,Olmsted,5/9/2020,363,9,Olmsted,5/10/2020,368,9,Olmsted,5/11/2020,374,9,Olmsted,5/12/2020,378,9
Pennington,5/2/2020,1,0,Pennington,5/3/2020,1,0,Pennington,5/4/2020,1,0,Pennington,5/5/2020,1,0,Pennington,5/6/2020,1,0,Otter Tail,5/7/2020,21,0,Otter Tail,5/8/2020,21,0,Otter Tail,5/9/2020,23,0,Otter Tail,5/10/2020,23,0,Otter Tail,5/11/2020,25,0,Otter Tail,5/12/2020,25,0
Pine,5/2/2020,58,0,Pine,5/3/2020,58,0,Pine,5/4/2020,60,0,Pine,5/5/2020,60,0,Pine,5/6/2020,61,0,Pennington,5/7/2020,1,0,Pennington,5/8/2020,1,0,Pennington,5/9/2020,1,0,Pennington,5/10/2020,1,0,Pennington,5/11/2020,1,0,Pennington,5/12/2020,1,0
Pipestone,5/2/2020,3,0,Pipestone,5/3/2020,3,0,Pipestone,5/4/2020,4,0,Pipestone,5/5/2020,4,0,Pipestone,5/6/2020,4,0,Pine,5/7/2020,61,0,Pine,5/8/2020,61,0,Pine,5/9/2020,69,0,Pine,5/10/2020,73,0,Pine,5/11/2020,73,0,Pine,5/12/2020,73,0
Polk,5/2/2020,36,0,Polk,5/3/2020,41,0,Polk,5/4/2020,42,0,Polk,5/5/2020,42,0,Polk,5/6/2020,43,0,Pipestone,5/7/2020,5,0,Pipestone,5/8/2020,6,0,Pipestone,5/9/2020,7,0,Pipestone,5/10/2020,7,0,Pipestone,5/11/2020,7,0,Pipestone,5/12/2020,7,0
Ramsey,5/2/2020,453,31,Ramsey,5/3/2020,493,34,Ramsey,5/4/2020,535,34,Pope,5/5/2020,1,0,Pope,5/6/2020,1,0,Polk,5/7/2020,43,0,Polk,5/8/2020,45,0,Polk,5/9/2020,48,1,Polk,5/10/2020,52,1,Polk,5/11/2020,53,1,Polk,5/12/2020,54,1
Red Lake,5/2/2020,1,0,Red Lake,5/3/2020,1,0,Red Lake,5/4/2020,1,0,Ramsey,5/5/2020,583,37,Ramsey,5/6/2020,656,38,Pope,5/7/2020,3,0,Pope,5/8/2020,5,0,Pope,5/9/2020,5,0,Pope,5/10/2020,5,0,Pope,5/11/2020,5,0,Pope,5/12/2020,5,0
Redwood,5/2/2020,3,0,Redwood,5/3/2020,3,0,Redwood,5/4/2020,3,0,Red Lake,5/5/2020,1,0,Red Lake,5/6/2020,1,0,Ramsey,5/7/2020,717,39,Ramsey,5/8/2020,800,42,Ramsey,5/9/2020,875,43,Ramsey,5/10/2020,920,45,Ramsey,5/11/2020,986,47,Ramsey,5/12/2020,"1,052",49
Renville,5/2/2020,5,0,Renville,5/3/2020,5,0,Renville,5/4/2020,5,0,Redwood,5/5/2020,3,0,Redwood,5/6/2020,3,0,Red Lake,5/7/2020,1,0,Red Lake,5/8/2020,1,0,Red Lake,5/9/2020,1,0,Red Lake,5/10/2020,2,0,Red Lake,5/11/2020,2,0,Red Lake,5/12/2020,2,0
Rice,5/2/2020,18,1,Rice,5/3/2020,20,1,Rice,5/4/2020,24,1,Renville,5/5/2020,5,0,Renville,5/6/2020,6,0,Redwood,5/7/2020,3,0,Redwood,5/8/2020,3,0,Redwood,5/9/2020,3,0,Redwood,5/10/2020,3,0,Redwood,5/11/2020,3,0,Redwood,5/12/2020,3,0
Rock,5/2/2020,16,0,Rock,5/3/2020,16,0,Rock,5/4/2020,16,0,Rice,5/5/2020,30,1,Rice,5/6/2020,30,1,Renville,5/7/2020,6,0,Renville,5/8/2020,6,0,Renville,5/9/2020,6,0,Renville,5/10/2020,6,0,Renville,5/11/2020,6,0,Renville,5/12/2020,6,0
Roseau,5/2/2020,1,0,Roseau,5/3/2020,1,0,Roseau,5/4/2020,1,0,Rock,5/5/2020,18,0,Rock,5/6/2020,18,0,Rice,5/7/2020,48,1,Rice,5/8/2020,81,1,Rice,5/9/2020,102,1,Rice,5/10/2020,114,1,Rice,5/11/2020,126,2,Rice,5/12/2020,134,2
Scott,5/2/2020,52,1,Scott,5/3/2020,58,1,Scott,5/4/2020,63,1,Roseau,5/5/2020,1,0,Roseau,5/6/2020,1,0,Rock,5/7/2020,19,0,Rock,5/8/2020,19,0,Rock,5/9/2020,19,0,Rock,5/10/2020,19,0,Rock,5/11/2020,19,0,Rock,5/12/2020,19,0
Sherburne,5/2/2020,50,0,Sherburne,5/3/2020,54,0,Sherburne,5/4/2020,61,0,Scott,5/5/2020,74,1,Scott,5/6/2020,90,1,Roseau,5/7/2020,1,0,Roseau,5/8/2020,1,0,Roseau,5/9/2020,1,0,Roseau,5/10/2020,1,0,Roseau,5/11/2020,1,0,Roseau,5/12/2020,1,0
Sibley,5/2/2020,2,0,Sibley,5/3/2020,2,0,Sibley,5/4/2020,2,0,Sherburne,5/5/2020,71,1,Sherburne,5/6/2020,80,1,Scott,5/7/2020,100,1,Scott,5/8/2020,121,1,Scott,5/9/2020,129,1,Scott,5/10/2020,140,1,Scott,5/11/2020,155,1,Scott,5/12/2020,168,1
St. Louis,5/2/2020,74,11,St. Louis,5/3/2020,75,11,St. Louis,5/4/2020,79,11,Sibley,5/5/2020,2,0,Sibley,5/6/2020,2,0,Sherburne,5/7/2020,88,1,Sherburne,5/8/2020,95,1,Sherburne,5/9/2020,107,1,Sherburne,5/10/2020,109,1,Sherburne,5/11/2020,114,1,Sherburne,5/12/2020,122,1
Stearns,5/2/2020,531,0,Stearns,5/3/2020,589,0,Stearns,5/4/2020,728,2,St. Louis,5/5/2020,81,11,St. Louis,5/6/2020,86,11,Sibley,5/7/2020,2,0,Sibley,5/8/2020,3,0,Sibley,5/9/2020,3,0,Sibley,5/10/2020,4,0,Sibley,5/11/2020,4,0,Sibley,5/12/2020,4,0
Steele,5/2/2020,20,0,Steele,5/3/2020,21,0,Steele,5/4/2020,24,0,Stearns,5/5/2020,815,2,Stearns,5/6/2020,975,3,St. Louis,5/7/2020,89,11,St. Louis,5/8/2020,90,12,St. Louis,5/9/2020,91,12,St. Louis,5/10/2020,92,12,St. Louis,5/11/2020,96,12,St. Louis,5/12/2020,96,12
Swift,5/2/2020,2,0,Swift,5/3/2020,2,0,Swift,5/4/2020,2,0,Steele,5/5/2020,25,0,Steele,5/6/2020,29,0,Stearns,5/7/2020,"1,161",4,Stearns,5/8/2020,"1,274",4,Stearns,5/9/2020,"1,348",5,Stearns,5/10/2020,"1,405",5,Stearns,5/11/2020,"1,443",6,Stearns,5/12/2020,"1,512",6
Todd,5/2/2020,8,0,Todd,5/3/2020,8,0,Todd,5/4/2020,15,0,Swift,5/5/2020,2,0,Swift,5/6/2020,2,0,Steele,5/7/2020,37,0,Steele,5/8/2020,45,0,Steele,5/9/2020,58,0,Steele,5/10/2020,60,0,Steele,5/11/2020,65,0,Steele,5/12/2020,73,0
