County,Cases,Deaths,Date
Winona,78,15,5/26/2020
Wright,263,1,5/26/2020
Yellow Medicine,6,0,5/26/2020
Unknown/missing,15,0,5/26/2020
Aitkin,7,0,5/27/2020
Anoka,"1,262",59,5/27/2020
Becker,37,0,5/27/2020
Beltrami,13,0,5/27/2020
Benton,169,2,5/27/2020
Big Stone,3,0,5/27/2020
Blue Earth,122,1,5/27/2020
Brown,14,2,5/27/2020
Carlton,73,0,5/27/2020
Carver,185,2,5/27/2020
Cass,12,2,5/27/2020
Chippewa,44,1,5/27/2020
Chisago,50,1,5/27/2020
Clay,406,25,5/27/2020
Clearwater,3,0,5/27/2020
Cook,0,0,5/27/2020
Cottonwood,65,0,5/27/2020
Crow Wing,57,1,5/27/2020
Dakota,"1,182",44,5/27/2020
Dodge,46,0,5/27/2020
Douglas,39,0,5/27/2020
Faribault,13,0,5/27/2020
Fillmore,17,1,5/27/2020
Freeborn,97,0,5/27/2020
Goodhue,60,3,5/27/2020
Grant,3,0,5/27/2020
Hennepin,"7,540",565,5/27/2020
Houston,2,0,5/27/2020
Hubbard,1,0,5/27/2020
Isanti,33,0,5/27/2020
Itasca,53,7,5/27/2020
Jackson,39,0,5/27/2020
Kanabec,11,1,5/27/2020
Kandiyohi,475,1,5/27/2020
Kittson,1,0,5/27/2020
Koochiching,7,0,5/27/2020
Lac qui Parle,3,0,5/27/2020
Lake,1,0,5/27/2020
Lake of the Woods,0,0,5/27/2020
Le Sueur,43,1,5/27/2020
Lincoln,5,0,5/27/2020
Lyon,36,0,5/27/2020
McLeod ,29,0,5/27/2020
Mahnomen ,5,1,5/27/2020
Marshall ,9,0,5/27/2020
Martin ,126,5,5/27/2020
Meeker,44,0,5/27/2020
Mille Lacs ,17,1,5/27/2020
Morrison ,40,0,5/27/2020
Mower ,216,1,5/27/2020
Murray ,36,0,5/27/2020
Nicollet,74,7,5/27/2020
Nobles,"1,488",3,5/27/2020
Norman,11,0,5/27/2020
Olmsted,575,10,5/27/2020
Otter Tail,62,0,5/27/2020
Pennington,17,0,5/27/2020
Pine,85,0,5/27/2020
Pipestone,10,0,5/27/2020
Polk,59,2,5/27/2020
Pope,8,0,5/27/2020
Ramsey,"2,610",103,5/27/2020
Red Lake,4,0,5/27/2020
Redwood,3,0,5/27/2020
Renville,5,0,5/27/2020
Rice,411,2,5/27/2020
Rock,21,0,5/27/2020
Roseau,1,0,5/27/2020
St. Louis ,115,13,5/27/2020
Scott ,379,2,5/27/2020
Sherburne ,219,2,5/27/2020
Sibley ,13,0,5/27/2020
Stearns ,"1,984",12,5/27/2020
Steele ,148,0,5/27/2020
Stevens,0,0,5/27/2020
Swift,17,0,5/27/2020
Todd,296,0,5/27/2020
Traverse,3,0,5/27/2020
Wabasha,17,0,5/27/2020
Wadena,8,0,5/27/2020
Waseca,24,0,5/27/2020
Washington,562,30,5/27/2020
Watonwan,59,0,5/27/2020
Wilkin,11,3,5/27/2020
Winona,78,15,5/27/2020
Wright,269,1,5/27/2020
Yellow Medicine,6,0,5/27/2020
Unknown/missing,61,0,5/27/2020
